chunk,loss,macro_f1,runtime_s,mem_peak_mb
0,0.1,0.16880187273888062,0.37515711784362793,0.9681415557861328
1,0.1,0.3621795941061996,0.3718605041503906,1.1035280227661133
2,0.1,0.45782750047810283,0.3568880558013916,1.1806001663208008
3,0.1,0.4402687047852526,0.35617661476135254,1.2050533294677734
4,0.1,0.42338633954263216,0.34604763984680176,1.2705678939819336
5,0.1,0.40539682539682537,0.38153696060180664,1.3615503311157227
6,0.1,0.4084595959595959,0.34683680534362793,1.3762025833129883
7,0.1,0.4056102459790984,0.3533337116241455,1.4372596740722656
8,0.1,0.39559423141512695,0.34898948669433594,1.4973573684692383
9,0.1,0.36829126500337406,0.344160795211792,1.5182838439941406
10,0.1,0.43544480519480516,0.35607147216796875,1.5992250442504883
11,0.1,0.42424177203838215,0.36948418617248535,1.6406373977661133
12,0.1,0.3996816059757236,0.40591859817504883,1.7211809158325195
13,0.1,0.3683988957902001,0.38201212882995605,1.7915687561035156
14,0.1,0.344302150198183,0.40094804763793945,1.7915687561035156
15,0.1,0.3385964442062003,0.3657848834991455,1.8424835205078125
16,0.1,0.33806828391734045,0.36275148391723633,1.8424835205078125
17,0.1,0.34268573219676063,0.3614163398742676,1.891489028930664
18,0.1,0.3385964442062003,0.36742734909057617,1.9563941955566406
19,0.1,0.3385964442062003,0.3801276683807373,2.0003204345703125
