scalar,complexity,entity_density,fraud_density,risk_score,ambiguity,semantic_entropy,rare_word_density,redaction_density
0.17588666432601158,0.21666666666666667,0.0,0.07692307692307693,0.0,0.0,0.8569435663370385,0.27692307692307694,0.18461538461538463
0.21192670291116525,0.47,0.0,0.10638297872340426,0.0,0.0,0.8504372418776099,0.4042553191489362,0.0
0.11285269486013272,0.12666666666666668,0.0,0.0,0.0,0.0,0.8858953696539587,0.0,0.05263157894736842
0.21476307461065808,0.63,0.0,0.0,0.0,0.0,0.826969370445205,0.30158730158730157,0.07407407407407407
0.2845640480150688,0.9333333333333333,0.0,0.03571428571428571,0.0,0.0,0.834926194436402,0.5142857142857142,0.04285714285714286
0.13554359715381836,0.21666666666666667,0.0,0.0,0.0,0.0,0.9073590484612604,0.09230769230769231,0.03076923076923077
0.17687956013598857,0.20666666666666667,0.0,0.0,0.0,0.0,0.9265375368437566,0.532258064516129,0.0
0.14897078636971878,0.17,0.0,0.0,0.0,0.0,0.8033353146775801,0.23529411764705882,0.19607843137254902
0.28811480402958206,0.7766666666666666,0.0,0.04291845493562232,0.0,0.0,0.7976931046735031,0.7339055793991416,0.12017167381974249
0.29020708841792703,0.6766666666666666,0.0,0.0,0.5,0.0,0.5459378792531618,0.08866995073891626,0.5024630541871922
0.17130351071665184,0.4066666666666667,0.0,0.0,0.0,0.0,0.29155969733045284,0.07377049180327869,0.7377049180327869
0.17317280696019915,0.30333333333333334,0.0,0.0,0.0,0.0,0.9031016959756178,0.3626373626373626,0.01098901098901099
0.1571756018238602,0.06333333333333334,0.0,0.0,0.0,0.0,0.9504402287649178,0.3157894736842105,0.21052631578947367
0.20100997229206455,0.66,0.0,0.0,0.0,0.0,0.8382815411024636,0.18181818181818182,0.0
0.12866767556414543,0.21,0.0,0.0,0.0,0.0,0.8764386604033589,0.09523809523809523,0.0
0.1196289372256916,0.08666666666666667,0.0,0.0,0.0,0.0,0.9509047568723006,0.11538461538461539,0.0
0.2004071383326731,0.3433333333333333,0.0,0.0,0.0,0.0,0.7997509949772162,0.5533980582524272,0.13592233009708737
0.14420898919536487,0.19,0.0,0.0,0.0,0.0,0.7535811200238243,0.21052631578947367,0.19298245614035087
0.19942305177436792,0.5233333333333333,0.0,0.0,0.0,0.0,0.846173192902915,0.36305732484076436,0.0
0.1813281029201223,0.42,0.0,0.0,0.0,0.0,0.8420111879313816,0.26190476190476186,0.07936507936507936
0.2181938058369445,0.7533333333333333,0.0,0.0,0.0,0.0,0.7776017751836046,0.23893805309734512,0.035398230088495575
0.3392466521034409,1.0,0.0,0.0,0.5,0.0,0.8109748083272269,0.27348066298342544,0.058011049723756904
0.14555477996985605,0.12,0.0,0.0,0.0,0.0,0.942214466365227,0.3333333333333333,0.0
0.133371278669687,0.13333333333333333,0.0,0.0,0.0,0.0,0.88371278669687,0.15000000000000002,0.1
0.2435447483724534,0.7566666666666667,0.0,0.0,0.0,0.0,0.8114606995835649,0.40969162995594716,0.07929515418502203
0.1858685201661279,0.43,0.0,0.0,0.0,0.0,0.6865534187155424,0.27906976744186046,0.24806201550387597
0.22604030618160553,0.45,0.0,0.0,0.0,0.0,0.9039215803345736,0.6444444444444445,0.037037037037037035
0.25102356138044063,0.6566666666666666,0.0,0.025380710659898477,0.0,0.0,0.8627990655810558,0.6091370558375635,0.015228426395939087
0.1447031866465707,0.12,0.0,0.0,0.0,0.0,0.9059207553545958,0.3333333333333333,0.027777777777777776
0.17719315438238875,0.25333333333333335,0.0,0.06578947368421052,0.0,0.0,0.5432473332975716,0.23684210526315788,0.5131578947368421
0.25635670273935673,0.4266666666666667,0.0,0.0,0.5,0.0,0.900129527393567,0.2578125,0.015625
0.195,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,0.8999999999999999,0.0
0.1792057295902378,0.3,0.0,0.0,0.0,0.3333333333333333,0.842057295902378,0.16666666666666666,0.0
0.29670111846080144,1.0,0.0,0.030181086519114685,0.0,0.0,0.6652003194168671,0.488933601609658,0.2676056338028169
0.3517722749109582,1.0,0.0,0.049342105263157895,0.5,0.0,0.8351569596358981,0.32565789473684215,0.03289473684210526
0.22603073090291076,0.31666666666666665,0.0,0.05263157894736842,0.0,0.0,0.9168862563975286,0.7894736842105263,0.0
0.1290439256771595,0.14666666666666667,0.0,0.0,0.0,0.0,0.888621074953413,0.13636363636363635,0.045454545454545456
0.19527527724712065,0.30333333333333334,0.0,0.05494505494505495,0.0,0.0,0.8548956296140637,0.39560439560439564,0.16483516483516483
0.14328243023468654,0.18333333333333332,0.0,0.0,0.0,0.0,0.9032788478014108,0.16363636363636364,0.09090909090909091
0.12242817342151643,0.14,0.0,0.0,0.0,0.0,0.8714245913580213,0.14285714285714285,0.0
0.13675537355332706,0.13,0.0,0.0,0.0,0.0,0.9417845047640397,0.23076923076923078,0.0
0.27698625515992464,0.7466666666666667,0.0,0.0,0.0,0.6666666666666666,0.8135530277897226,0.13392857142857142,0.03571428571428571
0.1612053134528272,0.2833333333333333,0.0,0.0,0.0,0.0,0.9164648992341543,0.24705882352941178,0.023529411764705882
0.2556266778751827,1.0,0.0,0.0,0.0,0.0,0.801757760715754,0.21042084168336672,0.04408817635270541
0.17649799693895774,0.34,0.0,0.0,0.0,0.0,0.8824309497817344,0.3529411764705882,0.0196078431372549
0.20368097332299584,0.17333333333333334,0.0,0.0,0.0,0.3333333333333333,0.9434763998966249,0.46153846153846156,0.038461538461538464
0.1883019166800951,0.27666666666666667,0.0,0.0,0.0,0.0,0.9138022993310714,0.5060240963855421,0.04819277108433735
0.1537437602753786,0.11333333333333333,0.0,0.0,0.0,0.0,0.9262611321655504,0.3529411764705882,0.08823529411764706
0.22401421902671362,0.7766666666666666,0.0,0.0,0.0,0.0,0.8176314606534025,0.23175965665236054,0.02575107296137339
0.17791811598884097,0.43666666666666665,0.0,0.0,0.0,0.0,0.8112040606517686,0.20610687022900764,0.10687022900763359
