run_id,seed,baseline,chunk,loss,macro_f1,strategy,budget,fitness,faci_scalar,runtime_s,mem_peak_mb
5,101112,Hybrid GA + GWO,0,0.1,0.15550351288056205,Hybrid,3,0.7682763552796094,0.2167186488700572,0.1930837631225586,0.4813871383666992
5,101112,Hybrid GA + GWO,1,0.1,0.16363636363636364,Hybrid,3,0.799128838115687,0.18578200607159198,0.20807552337646484,0.5267267227172852
5,101112,Hybrid GA + GWO,2,0.1,0.1611153552330023,Hybrid,3,0.827271052682103,0.191572445322244,0.2161729335784912,0.5740432739257812
5,101112,Hybrid GA + GWO,3,0.1,0.15248062015503877,Hybrid,3,0.827271052682103,0.19925467015504328,0.19422602653503418,0.6054344177246094
5,101112,Hybrid GA + GWO,4,0.1,0.19579710144927537,Hybrid,3,0.827271052682103,0.21648736505953053,0.19500422477722168,0.6290826797485352
5,101112,Hybrid GA + GWO,5,0.1,0.20986688051323177,Hybrid,3,0.827271052682103,0.20728824090426815,0.1911332607269287,0.6695146560668945
5,101112,Hybrid GA + GWO,6,0.1,0.25623931623931623,Hybrid,3,0.827271052682103,0.17578456594005504,0.18509602546691895,0.7009344100952148
5,101112,Hybrid GA + GWO,7,0.1,0.3440662525879917,Hybrid,3,0.827271052682103,0.21247341824106689,0.19687151908874512,0.7281961441040039
5,101112,Hybrid GA + GWO,8,0.1,0.31990580319596296,Hybrid,3,0.827271052682103,0.19367612292251285,0.19242405891418457,0.7459440231323242
5,101112,Hybrid GA + GWO,9,0.1,0.3260642015440878,Hybrid,3,0.827271052682103,0.18551378613289965,0.18567395210266113,0.7786026000976562
5,101112,Hybrid GA + GWO,10,0.1,0.35608324303976474,Hybrid,3,0.827271052682103,0.21421557354080364,0.18723058700561523,0.8315238952636719
5,101112,Hybrid GA + GWO,11,0.1,0.3570447192305988,Hybrid,3,0.827271052682103,0.17813811615186,0.19234561920166016,0.8474483489990234
5,101112,Hybrid GA + GWO,12,0.1,0.3439134060992856,Hybrid,3,0.827271052682103,0.17829562392466908,0.1905980110168457,0.8830623626708984
5,101112,Hybrid GA + GWO,13,0.1,0.35825734549138805,Hybrid,3,0.827271052682103,0.2023886198384611,0.1924448013305664,0.9154739379882812
5,101112,Hybrid GA + GWO,14,0.1,0.36851505711318794,Hybrid,3,0.827271052682103,0.184555321804205,0.1936497688293457,0.9406366348266602
5,101112,Hybrid GA + GWO,15,0.1,0.330129168425496,Hybrid,3,0.827271052682103,0.18304791361465259,0.19515657424926758,0.9475746154785156
5,101112,Hybrid GA + GWO,16,0.1,0.32519301097114994,Hybrid,3,0.827271052682103,0.18648460790285287,0.19414782524108887,0.9775180816650391
5,101112,Hybrid GA + GWO,17,0.1,0.3319274919115366,Hybrid,3,0.827271052682103,0.19996835594912146,0.1916189193725586,1.0130577087402344
5,101112,Hybrid GA + GWO,18,0.1,0.3529546925566343,Hybrid,3,0.827271052682103,0.18900745592027243,0.19520306587219238,1.0254688262939453
5,101112,Hybrid GA + GWO,19,0.1,0.3656470588235294,Hybrid,3,0.827271052682103,0.23182639409004024,0.19980478286743164,1.0591230392456055
5,101112,Hybrid GA + GWO,20,0.1,0.3714639175257732,Hybrid,3,0.827271052682103,0.2385249883858001,0.19428801536560059,1.1049680709838867
5,101112,Hybrid GA + GWO,21,0.1,0.3642448979591836,Hybrid,3,0.827271052682103,0.1855245592953742,0.19671034812927246,1.128408432006836
5,101112,Hybrid GA + GWO,22,0.1,0.37898564593301437,Hybrid,3,0.827271052682103,0.2325873720843624,0.20252299308776855,1.1685562133789062
5,101112,Hybrid GA + GWO,23,0.1,0.38116746411483254,Hybrid,3,0.827271052682103,0.20526427682357173,0.1977405548095703,1.206777572631836
5,101112,Hybrid GA + GWO,24,0.1,0.41802470107329437,Hybrid,3,0.827271052682103,0.22863301476960265,0.20236849784851074,1.246232032775879
5,101112,Hybrid GA + GWO,25,0.1,0.42905438401775803,Hybrid,3,0.827271052682103,0.20335275565373662,0.19998645782470703,1.246232032775879
5,101112,Hybrid GA + GWO,26,0.1,0.46320512820512827,Hybrid,3,0.827271052682103,0.19762786044611452,0.19921350479125977,1.259261131286621
5,101112,Hybrid GA + GWO,27,0.1,0.4837384882389868,Hybrid,3,0.827271052682103,0.22453485547567217,0.20116019248962402,1.2909421920776367
5,101112,Hybrid GA + GWO,28,0.1,0.4770678386297048,Hybrid,3,0.827271052682103,0.22461411904442813,0.20210957527160645,1.3190240859985352
5,101112,Hybrid GA + GWO,29,0.1,0.45283549623037944,Hybrid,3,0.827271052682103,0.19769454935770087,0.20386266708374023,1.3482017517089844
5,101112,Hybrid GA + GWO,30,0.1,0.4661125541125541,Hybrid,3,0.827271052682103,0.1798772375327325,0.19387149810791016,1.379164695739746
5,101112,Hybrid GA + GWO,31,0.1,0.43564847812887725,Hybrid,3,0.827271052682103,0.2374048592051583,0.2001810073852539,1.4087648391723633
5,101112,Hybrid GA + GWO,32,0.1,0.43497975708502024,Hybrid,3,0.827271052682103,0.19706974067915461,0.2040722370147705,1.4317007064819336
5,101112,Hybrid GA + GWO,33,0.1,0.4297014019157401,Hybrid,3,0.827271052682103,0.19302661752935224,0.20325088500976562,1.4317007064819336
5,101112,Hybrid GA + GWO,34,0.1,0.4128922851066233,Hybrid,3,0.827271052682103,0.2012684804779174,0.20098209381103516,1.4317007064819336
5,101112,Hybrid GA + GWO,35,0.1,0.4286667212533093,Hybrid,3,0.827271052682103,0.2514524663399648,0.20671963691711426,1.4498205184936523
5,101112,Hybrid GA + GWO,36,0.1,0.40138345864661656,Hybrid,3,0.827271052682103,0.19737377577575105,0.2058396339416504,1.4804391860961914
5,101112,Hybrid GA + GWO,37,0.1,0.38858692215861507,Hybrid,3,0.827271052682103,0.2017766187696804,0.19419598579406738,1.505655288696289
5,101112,Hybrid GA + GWO,38,0.1,0.38153060069528666,Hybrid,3,0.827271052682103,0.1987048293577855,0.20125913619995117,1.5209808349609375
5,101112,Hybrid GA + GWO,39,0.1,0.3650947252140292,Hybrid,3,0.8289371208323711,0.18971408722751198,0.21799969673156738,1.543848991394043
