Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector,Semantic_Threshold
2026-07-19T19:28:31.042199,0,Hybrid,4,0.7648515349681615,0.12613656310338775,0.7648515349681615,0.5099010233121076,0.48476817312492904,"[0.38150000000000006, 0.0, 0.013096939814819459, 0.025, 0.0, 0.8144138851471965, 0.2856505748953569, 0.12855753405282372]",0.85
2026-07-19T19:28:36.829898,1,Hybrid,4,0.7974742417731725,0.13168753306295186,0.7974742417731725,0.5316494945154483,0.43316362055668206,"[0.4261666666666667, 0.0, 0.013913500500940248, 0.075, 0.016666666666666666, 0.840302859595649, 0.3637638135687823, 0.0865645878646235]",0.85
2026-07-19T19:28:43.686759,2,Hybrid,3,0.8178494416129364,0.2597664821192438,0.8178494416129364,0.545232961075291,0.4148054132405465,"[0.4411666666666666, 0.0, 0.0008928571428571428, 0.025, 0.06666666666666667, 0.8556394859018905, 0.35750484027870494, 0.06672610159273934]",0.85
2026-07-19T19:28:49.577436,3,Hybrid,3,0.8178494416129364,0.23242151282082535,0.8178494416129364,0.545232961075291,0.4148054132405465,"[0.4136666666666667, 0.0, 0.0073222395420671285, 0.05, 0.03333333333333333, 0.8833845737500845, 0.4448230673781115, 0.03756524117478593]",0.85
2026-07-19T19:28:55.072407,4,Hybrid,3,0.8178494416129364,0.24296811562821413,0.8178494416129364,0.545232961075291,0.4148054132405465,"[0.6188333333333333, 0.0, 0.009304257322912266, 0.05, 0.03333333333333333, 0.7912453215955793, 0.3546227546747641, 0.12034181525902002]",0.9
2026-07-19T19:29:00.206192,5,Hybrid,3,0.8178494416129364,0.3350980972098984,0.8178494416129364,0.545232961075291,0.4148054132405465,"[0.42466666666666664, 0.0, 0.028489054000129143, 0.025, 0.016666666666666666, 0.8527760609577892, 0.387347004460332, 0.058029120867404915]",0.85
2026-07-19T19:29:05.885337,6,Hybrid,3,0.8178494416129364,0.3872219085262564,0.8178494416129364,0.545232961075291,0.4148054132405465,"[0.4535, 0.0, 0.006861985720532407, 0.025, 0.016666666666666666, 0.8010087097275698, 0.2805654557596625, 0.12871421942376024]",0.85
2026-07-19T19:29:11.288100,7,Hybrid,3,0.8205983801741862,0.3496470920383964,0.8205983801741862,0.5470655867827908,0.32754103683868985,"[0.2985, 0.0, 0.002111810226368699, 0.125, 0.0, 0.8564547358813209, 0.2883417340221183, 0.08280826237064459]",0.85
2026-07-19T19:29:16.603355,8,Hybrid,3,0.8205983801741862,0.4174144581311435,0.8205983801741862,0.5470655867827908,0.32754103683868985,"[0.5793333333333333, 0.0, 0.008261136032559359, 0.075, 0.03333333333333333, 0.8287276325825805, 0.36872159548449424, 0.05996607012189542]",0.9
2026-07-19T19:29:23.663669,9,Hybrid,3,0.8205983801741862,0.40444047442151393,0.8205983801741862,0.5470655867827908,0.32754103683868985,"[0.5373333333333333, 0.0, 0.03489139308200696, 0.0, 0.05, 0.8339724437049549, 0.4126758474513571, 0.06564095835144533]",0.9
2026-07-19T19:29:28.955598,10,Hybrid,3,0.8205983801741862,0.44765588619973357,0.8205983801741862,0.5470655867827908,0.32754103683868985,"[0.5210000000000001, 0.0, 0.025978150539045942, 0.075, 0.03333333333333333, 0.8494948190719798, 0.3725613294811666, 0.04568692735601265]",0.9
2026-07-19T19:29:34.473926,11,Hybrid,3,0.8205983801741862,0.4671151563533996,0.8205983801741862,0.5470655867827908,0.32754103683868985,"[0.4531666666666667, 0.0, 0.05185794076902932, 0.025, 0.03333333333333333, 0.8313291847889804, 0.29318748136752326, 0.09410314452073845]",0.85
2026-07-19T19:29:40.174564,12,Hybrid,3,0.8300277252472946,0.4644659348983258,0.8300277252472946,0.5533518168315298,0.3285957684807105,"[0.3983333333333333, 0.0, 0.0, 0.075, 0.05, 0.8210426179403981, 0.3492434425536421, 0.11551991319974561]",0.85
2026-07-19T19:29:45.474803,13,Hybrid,3,0.8300277252472946,0.444888387087998,0.8300277252472946,0.5533518168315298,0.3285957684807105,"[0.3443333333333333, 0.0, 0.016052371984575375, 0.05, 0.03333333333333333, 0.8660144678318098, 0.3353153457319518, 0.06761429754317058]",0.85
2026-07-19T19:29:50.761764,14,Hybrid,3,0.8300277252472946,0.4360065909875409,0.8300277252472946,0.5533518168315298,0.3285957684807105,"[0.4168333333333333, 0.0, 0.02442228755985828, 0.025, 0.0, 0.8472340268209925, 0.38212184292543167, 0.0798398816236496]",0.85
