chunk,loss,macro_f1,runtime_s,mem_peak_mb
0,0.6530881375074387,0.037542745481191984,4.285428285598755,0.4354743957519531
1,0.6874590069055557,0.028585922637920102,5.202776670455933,0.5622692108154297
2,0.6126122623682022,0.018947368421052633,5.339365005493164,0.5941476821899414
3,0.602649062871933,0.05503411378963644,5.1415345668792725,0.6249485015869141
4,1.570681393146515,0.10236065900231646,5.392729997634888,0.7052679061889648
5,1.5385880172252655,0.16283501326259947,5.287965297698975,0.7052679061889648
6,1.473173052072525,0.24208301234913746,5.2437050342559814,0.7165946960449219
7,1.412501037120819,0.321743018885876,5.1315460205078125,0.7464275360107422
8,1.3156059086322784,0.40050708030247667,5.7497522830963135,0.7742176055908203
9,1.335557371377945,0.45551399685654814,5.392484664916992,0.8014755249023438
10,1.197126179933548,0.48596327419856833,5.43963623046875,0.8293085098266602
11,1.1912765502929688,0.5007051100347953,5.530822038650513,0.8595190048217773
12,1.1170682311058044,0.5100590221977506,5.664419651031494,0.886164665222168
13,0.9987547099590302,0.5001159548378832,5.132920026779175,0.8945064544677734
14,1.0134769827127457,0.4766379330717669,5.614029169082642,1.0636625289916992
15,0.9686522632837296,0.5259423540591539,5.4074387550354,1.0636625289916992
16,0.9441169053316116,0.5454489067465449,4.938512325286865,1.0636625289916992
17,0.8713169395923615,0.5191980340238478,5.250575065612793,1.0636625289916992
18,0.8493839800357819,0.5327948702970609,5.035536050796509,1.0815982818603516
19,0.8323424458503723,0.5538707287328967,5.050771713256836,1.0815982818603516
20,0.871732234954834,0.5635800049769815,5.202784776687622,1.0815982818603516
21,0.7655679285526276,0.615361979828799,4.982110261917114,1.086440086364746
22,0.7868422418832779,0.6160221983530254,5.0755040645599365,1.1513786315917969
23,0.7483675926923752,0.6012593450319244,5.11454439163208,1.1513786315917969
24,0.8179236650466919,0.5987321716810882,5.17006254196167,1.218522071838379
