Timestamp,Chunk_ID,Macro_F1,Precision,Recall,BT_Ratio,BERT_Ratio,Budget,Mask_Prob,Sem_Thresh,Ent_Weight,Chunk_Pri,LR
2026-06-29T11:37:10.028963,0,0.03636363636363636,0.02,0.2,0.8803714282833255,1.0,1.0,0.2574554116103305,0.8483388527607544,0.896649958272639,0.2871017635922272,2.1373881446809046e-05
2026-06-29T11:37:18.354506,1,0.03636363636363636,0.02,0.2,0.9808944461508414,0.9055466857843749,1.0,0.3,0.95,1.0,0.1890287206717144,1.4933299005936297e-05
2026-06-29T11:37:19.549003,2,0.1299145299145299,0.10666666666666666,0.19393939393939394,0.9583761871213857,0.9705829170556483,1.0,0.27719658022382415,0.9276757285765838,1.0,0.18305323838403745,1.0639427507084792e-05
2026-06-29T11:37:20.727726,3,0.06956521739130435,0.05,0.11428571428571428,1.0,0.9097582017596121,1.0,0.26993365642871575,0.95,0.9757274865619266,0.2229155969686396,1e-05
2026-06-29T11:37:21.624796,4,0.08,0.05,0.2,1.0,1.0,1.0,0.16171885952973383,0.9305206489411741,0.9550917013589167,0.3292809904227511,1.626876708726557e-05
2026-06-29T11:37:22.519817,5,0.08780487804878048,0.05625,0.2,1.0,1.0,1.0,0.23801706294920724,0.95,0.9805263477976207,0.09682353399267746,1e-05
2026-06-29T11:37:25.430640,6,0.10975609756097561,0.0703125,0.25,1.0,1.0,1.0,0.2949337234098418,0.9385630496693235,1.0,0.0,1.2936011998059867e-05
2026-06-29T11:37:26.265887,7,0.10975609756097561,0.0703125,0.25,1.0,1.0,1.0,0.05,0.95,1.0,0.5170666149321926,1.8909578096515612e-05
2026-06-29T11:37:27.477342,8,0.14956521739130435,0.11215686274509803,0.225,1.0,1.0,1.0,0.2960207109507492,0.9457138723178407,1.0,0.6436852068690337,3.5973383707389066e-05
2026-06-29T11:37:28.579106,9,0.145748987854251,0.10364372469635627,0.24761904761904763,1.0,1.0,1.0,0.2960207109507492,0.95,1.0,0.7190741100219047,3.5973383707389066e-05
2026-06-29T11:37:29.563330,10,0.1137123745819398,0.08862745098039215,0.17272727272727273,1.0,1.0,1.0,0.2960207109507492,0.95,1.0,0.5821647091864972,3.529292715226047e-05
2026-06-29T11:37:32.058141,11,0.09852216748768472,0.07773279352226721,0.135,1.0,1.0,1.0,0.3,0.95,1.0,0.7005326852781891,3.7362662561760264e-05
2026-06-29T11:37:32.885562,12,0.11666666666666665,0.0873015873015873,0.1933333333333333,1.0,1.0,1.0,0.2960207109507492,0.95,1.0,0.7190741100219047,3.6682669388267085e-05
2026-06-29T11:37:33.719672,13,0.10766045548654243,0.07372549019607844,0.2,1.0,1.0,1.0,0.3,0.95,1.0,0.7190741100219047,3.6682669388267085e-05
2026-06-29T11:37:34.690427,14,0.15952380952380954,0.1126984126984127,0.28095238095238095,1.0,1.0,1.0,0.2813227775962649,0.95,1.0,0.6767011809325973,3.106989640569517e-05
2026-06-29T11:37:35.550706,15,0.12451612903225806,0.1,0.16590909090909092,1.0,1.0,1.0,0.2731035534058488,0.95,1.0,0.7190741100219047,3.533651883341449e-05
2026-06-29T11:37:37.837135,16,0.1391304347826087,0.10850202429149798,0.25,1.0,1.0,1.0,0.2813227775962649,0.95,1.0,0.6709421329660824,1.6808884138207e-05
2026-06-29T11:37:38.905760,17,0.21678321678321674,0.1623529411764706,0.326984126984127,1.0,1.0,1.0,0.3,0.95,1.0,0.6006217003356644,2.5025067272054692e-05
2026-06-29T11:37:39.783094,18,0.17219047619047617,0.12392156862745099,0.2833333333333333,1.0,1.0,1.0,0.3,0.95,1.0,0.8473640184779851,2.6309589733619155e-05
2026-06-29T11:37:40.687287,19,0.13672727272727273,0.10158730158730159,0.21428571428571427,1.0,1.0,1.0,0.2962190296781532,0.95,1.0,0.6960761904645495,2.5025067272054692e-05
2026-06-29T11:37:41.883557,20,0.19464882943143813,0.15060728744939272,0.3,1.0,1.0,1.0,0.3,0.95,1.0,0.8440253317134984,1.9751536715786358e-05
2026-06-29T11:37:44.726350,21,0.1769230769230769,0.13852813852813853,0.3111111111111111,1.0,1.0,1.0,0.3,0.95,1.0,0.8304743379451167,2.5025067272054692e-05
2026-06-29T11:37:45.640121,22,0.06315789473684211,0.0375,0.2,1.0,1.0,1.0,0.3,0.95,1.0,0.8361190091647015,2.4750400434748618e-05
2026-06-29T11:37:46.550451,23,0.07179487179487179,0.04375,0.2,1.0,1.0,1.0,0.3,0.95,1.0,1.0,1.9751536715786358e-05
2026-06-29T11:37:47.390099,24,0.07179487179487179,0.04375,0.2,1.0,1.0,1.0,0.291296384101031,0.95,1.0,1.0,2.9057991211828728e-05
2026-06-29T11:37:48.439939,25,0.06315789473684211,0.0375,0.2,1.0,1.0,1.0,0.3,0.95,1.0,0.9336390312921516,2.9057991211828728e-05
2026-06-29T11:37:51.027821,26,0.0700952380952381,0.050793650793650794,0.11428571428571428,1.0,1.0,1.0,0.3,0.95,1.0,0.8682547121794861,1.9751536715786358e-05
2026-06-29T11:37:52.013003,27,0.13146853146853146,0.09841269841269842,0.2,1.0,1.0,1.0,0.3,0.95,1.0,0.8682547121794861,1.9751536715786358e-05
2026-06-29T11:37:53.193352,28,0.12072727272727272,0.0931174089068826,0.18888888888888888,1.0,1.0,1.0,0.3,0.95,1.0,1.0,3.4566121685046866e-05
2026-06-29T11:37:55.566147,29,0.06315789473684211,0.0375,0.2,1.0,1.0,1.0,0.28430154562293114,0.95,1.0,0.829480215437193,2.5685564808897178e-05
