Timestamp,Chunk_ID,Fitness,Macro_F1,Semantic_Pres,Entity_Pres,Cost,BT_Ratio,BERT_Ratio,Budget,Mask_Prob,Sem_Thresh,Ent_Weight,Chunk_Pri,LR,Strategy
2026-07-12T15:39:05.657196,0,0.0,0.0875,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:39:22.699453,1,0.0,0.5024761904761904,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:39:39.485286,2,0.0,0.6867785724711721,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:39:53.635100,3,0.0,0.7295060577819198,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:08.116126,4,0.0,0.8207552447552446,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:15.086049,0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:16.412108,1,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:17.574687,2,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:21.835493,3,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:23.015978,4,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:28.455077,5,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:30.324536,6,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:33.055729,7,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:35.328015,8,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
2026-07-12T15:40:37.321106,9,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,2e-05,No Augmentation
