chunk,loss,macro_f1,runtime_s,mem_peak_mb
0,0.6653709411621094,0.060298840944002244,5.186725854873657,0.4385643005371094
1,1.6273102760314941,0.11425762045231072,7.3001627922058105,0.5688858032226562
2,0.6188056766986847,0.131700572782935,6.900848865509033,0.6038141250610352
3,0.6054453700780869,0.15221561683109874,9.663728952407837,0.6362075805664062
4,1.567511886358261,0.23056056203974445,14.61715579032898,0.721806526184082
5,1.5054837465286255,0.22746267887274235,10.263252019882202,0.721806526184082
6,1.4723272323608398,0.27952951427203204,8.69459867477417,0.7289943695068359
7,1.3843397796154022,0.2648342495418957,6.991024494171143,0.7556753158569336
8,1.3951113522052765,0.32914189680101313,9.080576181411743,0.7837104797363281
9,1.4032312333583832,0.38125028333106664,9.117202281951904,0.8112602233886719
10,1.2794756889343262,0.43277230175535264,7.676480770111084,0.8387632369995117
11,1.2156064808368683,0.38370477021425503,6.258479356765747,0.8665084838867188
12,1.1237240433692932,0.46764586135655317,6.962052822113037,0.894770622253418
13,1.113672524690628,0.42675109852553456,6.59678053855896,0.9242525100708008
14,1.103718176484108,0.5023072418133625,7.603786468505859,1.0968799591064453
15,0.9040528386831284,0.48146925635140186,7.844082832336426,1.0968799591064453
16,0.96476911008358,0.4864370936452154,6.457330226898193,1.0968799591064453
17,1.0506439805030823,0.5093339876497771,5.280791997909546,1.0968799591064453
18,0.9302162081003189,0.5476434676434676,5.317814588546753,1.1010160446166992
19,0.9230958968400955,0.6132799465258291,7.22588038444519,1.1010160446166992
20,0.8768474012613297,0.636468308253534,7.493849515914917,1.1010160446166992
21,0.8481041938066483,0.6494326367548686,6.023876428604126,1.1031007766723633
22,0.8995085954666138,0.5992087070518444,6.38001561164856,1.1671075820922852
23,0.9948951154947281,0.6330397363383848,5.548208951950073,1.1671075820922852
24,0.907622754573822,0.5715892044545059,5.680633783340454,1.2341938018798828
