Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T18:36:35.390964,0,Hybrid,5,0.7643341700264206,0.15476764199655765,0.7643341700264206,0.5095561133509471,0.35593031564413125,"[0.38150000000000006, 0.0, 0.013096939814819459, 0.025, 0.0, 0.8144138851471965, 0.2856505748953569, 0.12855753405282372]"
2026-07-19T18:36:39.234477,1,Hybrid,4,0.7799668865006144,0.1653012048192771,0.7799668865006144,0.5199779243337429,0.3961902401374177,"[0.4261666666666667, 0.0, 0.013913500500940248, 0.075, 0.016666666666666666, 0.840302859595649, 0.3637638135687823, 0.0865645878646235]"
2026-07-19T18:36:43.908564,2,Hybrid,3,0.8213313249460804,0.19852280666733207,0.8213313249460804,0.5475542166307202,0.316093280247974,"[0.4411666666666666, 0.0, 0.0008928571428571428, 0.025, 0.06666666666666667, 0.8556394859018905, 0.35750484027870494, 0.06672610159273934]"
2026-07-19T18:36:48.349089,3,Hybrid,3,0.8213313249460804,0.2430268918073796,0.8213313249460804,0.5475542166307202,0.316093280247974,"[0.4136666666666667, 0.0, 0.0073222395420671285, 0.05, 0.03333333333333333, 0.8833845737500845, 0.4448230673781115, 0.03756524117478593]"
2026-07-19T18:36:53.367380,4,Hybrid,3,0.8257164740970087,0.3182077825556086,0.8257164740970087,0.5504776493980058,0.34122557275855614,"[0.6188333333333333, 0.0, 0.009304257322912266, 0.05, 0.03333333333333333, 0.7912453215955793, 0.3546227546747641, 0.12034181525902002]"
2026-07-19T18:36:59.112520,5,Hybrid,3,0.8273940917809388,0.30659773109699834,0.8273940917809388,0.5515960611872925,0.3667156702031921,"[0.42466666666666664, 0.0, 0.028489054000129143, 0.025, 0.016666666666666666, 0.8527760609577892, 0.387347004460332, 0.058029120867404915]"
2026-07-19T18:37:05.111126,6,Hybrid,3,0.8273940917809388,0.2917766875536342,0.8273940917809388,0.5515960611872925,0.3667156702031921,"[0.4535, 0.0, 0.006861985720532407, 0.025, 0.016666666666666666, 0.8010087097275698, 0.2805654557596625, 0.12871421942376024]"
2026-07-19T18:37:10.287071,7,Hybrid,3,0.8273940917809388,0.3402156593759196,0.8273940917809388,0.5515960611872925,0.3667156702031921,"[0.2985, 0.0, 0.002111810226368699, 0.125, 0.0, 0.8564547358813209, 0.2883417340221183, 0.08280826237064459]"
2026-07-19T18:37:16.118602,8,Hybrid,3,0.8273940917809388,0.39573657227375314,0.8273940917809388,0.5515960611872925,0.3667156702031921,"[0.5793333333333333, 0.0, 0.008261136032559359, 0.075, 0.03333333333333333, 0.8287276325825805, 0.36872159548449424, 0.05996607012189542]"
2026-07-19T18:37:22.122724,9,Hybrid,3,0.8273940917809388,0.45373166373646867,0.8273940917809388,0.5515960611872925,0.3667156702031921,"[0.5373333333333333, 0.0, 0.03489139308200696, 0.0, 0.05, 0.8339724437049549, 0.4126758474513571, 0.06564095835144533]"
2026-07-19T18:37:28.605969,10,Hybrid,3,0.8273940917809388,0.42842265822520326,0.8273940917809388,0.5515960611872925,0.3667156702031921,"[0.5210000000000001, 0.0, 0.025978150539045942, 0.075, 0.03333333333333333, 0.8494948190719798, 0.3725613294811666, 0.04568692735601265]"
