chunk,loss,macro_f1,runtime_s,mem_peak_mb
0,0.1,0.16880187273888062,0.3590571880340576,0.9604206085205078
1,0.1,0.27497372193024366,0.3477177619934082,1.0989046096801758
2,0.1,0.34898514590703894,0.3498995304107666,1.172236442565918
3,0.1,0.3267933692323936,0.3370075225830078,1.2348928451538086
4,0.1,0.4198155467720685,0.33443570137023926,1.25439453125
5,0.1,0.36943907156673117,0.3350410461425781,1.338089942932129
6,0.1,0.3899410774410774,0.34830427169799805,1.404463768005371
7,0.1,0.4399761274267637,0.34461116790771484,1.4082775115966797
8,0.1,0.3902471038064258,0.32657480239868164,1.4695005416870117
9,0.1,0.4017047032039535,0.3369152545928955,1.5422248840332031
10,0.1,0.4551282051282052,0.34901928901672363,1.5761213302612305
11,0.1,0.46759103641456584,0.3412461280822754,1.656264305114746
12,0.1,0.48002697192588545,0.3421146869659424,1.6888923645019531
13,0.1,0.4407910486599011,0.3701934814453125,1.751500129699707
14,0.1,0.43439324116743466,0.3627479076385498,1.8030977249145508
15,0.1,0.37544001330654514,0.3660616874694824,1.8391647338867188
16,0.1,0.35638124815143446,0.3650341033935547,1.8795080184936523
17,0.1,0.345052263946534,0.3538401126861572,1.929276466369629
18,0.1,0.35274318942372535,0.36165308952331543,1.938812255859375
19,0.1,0.3530400394903964,0.38509321212768555,1.9684295654296875
