Chunk,FACI,Fitness,BT,BERT,Budget,Mask,Sem,Ent,Pri,LR
0,0.14108888888888885,0.5805171271416137,0.9150142243495335,1.0,4.775647661095171,0.3,0.95,0.9210283204111596,0.3019511816576905,1.982236336036634e-05
1,0.14108888888888885,0.6034903079325461,0.9150142243495335,1.0,5.0,0.3,0.95,0.9210283204111596,0.3019511816576905,1.982236336036634e-05
2,0.14108888888888885,0.69,1.0,1.0,5.0,0.3,0.95,1.0,0.2754666182758166,4.060054194051169e-05
3,0.14108888888888885,0.6708518611675397,1.0,0.946810725465388,5.0,0.3,0.95,1.0,0.7523358518634026,1.0046598003574322e-05
4,0.14108888888888885,0.6144645780489687,0.9150142243495335,1.0,5.0,0.2950731279927099,0.95,0.9383733122909704,0.4799729973989725,1.982236336036634e-05
5,0.14108888888888885,0.6534561164702993,0.9150142243495335,1.0,5.0,0.2763125237378588,0.95,1.0,0.3019511816576905,1.982236336036634e-05
6,0.14108888888888885,0.6404515986280488,1.0,0.9499387915194409,5.0,0.3,0.9039748737848715,1.0,0.21479899358820054,2.0777012076632467e-05
7,0.14108888888888885,0.6404515986280488,1.0,0.9499387915194409,5.0,0.3,0.9039748737848715,1.0,0.21479899358820054,2.0777012076632467e-05
8,0.14108888888888885,0.69,1.0,1.0,5.0,0.24156403997185907,0.95,1.0,0.2566612178168804,2.285539185008336e-05
9,0.14108888888888885,0.69,1.0,1.0,5.0,0.19988732340512624,0.95,1.0,0.28925978734237795,2.8113307963592836e-05
10,0.14108888888888885,0.69,1.0,1.0,5.0,0.3,0.95,1.0,0.21479899358820054,2.0777012076632467e-05
11,0.14108888888888885,0.6577801163222199,1.0,0.9499387915194409,5.0,0.3,0.9292726580561885,1.0,0.21479899358820054,2.0777012076632467e-05
12,0.14108888888888885,0.69,1.0,1.0,5.0,0.3,0.95,1.0,0.0830749173503313,1.7128552967707576e-05
13,0.14108888888888885,0.684418391330913,1.0,0.984495531474758,5.0,0.3,0.95,1.0,0.11146064302451365,2.867912639359466e-05
14,0.14108888888888885,0.6404515986280488,1.0,0.9499387915194409,5.0,0.3,0.9039748737848715,1.0,0.21479899358820054,2.0777012076632467e-05
0,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.5289736861398708,0.8803714282833255,1.0,1.0,0.2574554116103305,0.8483388527607544,0.896649958272639,0.2871017635922272,2.1373881446809046e-05
1,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.6656248564749389,0.9808944461508414,0.9055466857843749,1.0,0.3,0.95,1.0,0.1890287206717144,1.4933299005936297e-05
2,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.6640965109964482,0.9583761871213857,0.9705829170556483,1.0,0.27719658022382415,0.9276757285765838,1.0,0.18305323838403745,1.0639427507084792e-05
3,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.6594613894503776,1.0,0.9097582017596121,1.0,0.26993365642871575,0.95,0.9757274865619266,0.2229155969686396,1e-05
4,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.6645319427978182,1.0,1.0,1.0,0.16171885952973383,0.9305206489411741,0.9550917013589167,0.3292809904227511,1.626876708726557e-05
5,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.6917754542574992,1.0,1.0,1.0,0.23801706294920724,0.95,0.9805263477976207,0.09682353399267746,1e-05
6,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.6638491048517,1.0,1.0,1.0,0.2949337234098418,0.9385630496693235,1.0,0.0,1.2936011998059867e-05
7,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.7086199999999998,1.0,1.0,1.0,0.05,0.95,1.0,0.5170666149321926,1.8909578096515612e-05
8,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.705535702519918,1.0,1.0,1.0,0.2960207109507492,0.9457138723178407,1.0,0.6436852068690337,3.5973383707389066e-05
9,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.7086199999999998,1.0,1.0,1.0,0.2960207109507492,0.95,1.0,0.7190741100219047,3.5973383707389066e-05
10,My card was stolen and used for a scam of 500 dollars. I never gave them my OTP.,0.22524920634920628,0.7086199999999998,1.0,1.0,1.0,0.2960207109507492,0.95,1.0,0.5821647091864972,3.529292715226047e-05
