Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T18:34:30.836662,0,Hybrid,3,0.8322826138723832,0.18987787005373719,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.38150000000000006, 0.0, 0.013096939814819459, 0.025, 0.0, 0.8144138851471965, 0.2856505748953569, 0.12855753405282372]"
2026-07-19T18:34:33.568661,1,Hybrid,3,0.8335411486531914,0.16550632911392404,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4261666666666667, 0.0, 0.013913500500940248, 0.075, 0.016666666666666666, 0.840302859595649, 0.3637638135687823, 0.0865645878646235]"
2026-07-19T18:34:36.390470,2,Hybrid,3,0.8335411486531914,0.2069603916332888,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4411666666666666, 0.0, 0.0008928571428571428, 0.025, 0.06666666666666667, 0.8556394859018905, 0.35750484027870494, 0.06672610159273934]"
2026-07-19T18:34:39.192662,3,Hybrid,3,0.8335411486531914,0.1738562091503268,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4136666666666667, 0.0, 0.0073222395420671285, 0.05, 0.03333333333333333, 0.8833845737500845, 0.4448230673781115, 0.03756524117478593]"
2026-07-19T18:34:42.028346,4,Hybrid,3,0.8335411486531914,0.24883597883597885,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.6188333333333333, 0.0, 0.009304257322912266, 0.05, 0.03333333333333333, 0.7912453215955793, 0.3546227546747641, 0.12034181525902002]"
2026-07-19T18:34:44.902497,5,Hybrid,3,0.8335411486531914,0.29960819094821967,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.42466666666666664, 0.0, 0.028489054000129143, 0.025, 0.016666666666666666, 0.8527760609577892, 0.387347004460332, 0.058029120867404915]"
2026-07-19T18:34:47.723682,6,Hybrid,3,0.8335411486531914,0.3771720471671841,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4535, 0.0, 0.006861985720532407, 0.025, 0.016666666666666666, 0.8010087097275698, 0.2805654557596625, 0.12871421942376024]"
2026-07-19T18:34:50.581291,7,Hybrid,3,0.8335411486531914,0.3607196401799101,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.2985, 0.0, 0.002111810226368699, 0.125, 0.0, 0.8564547358813209, 0.2883417340221183, 0.08280826237064459]"
2026-07-19T18:34:53.480531,8,Hybrid,3,0.8335411486531914,0.41900316664467613,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5793333333333333, 0.0, 0.008261136032559359, 0.075, 0.03333333333333333, 0.8287276325825805, 0.36872159548449424, 0.05996607012189542]"
2026-07-19T18:34:56.417587,9,Hybrid,3,0.8335411486531914,0.4311046096760382,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5373333333333333, 0.0, 0.03489139308200696, 0.0, 0.05, 0.8339724437049549, 0.4126758474513571, 0.06564095835144533]"
2026-07-19T18:34:59.360412,10,Hybrid,3,0.8335411486531914,0.370381615011596,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5210000000000001, 0.0, 0.025978150539045942, 0.075, 0.03333333333333333, 0.8494948190719798, 0.3725613294811666, 0.04568692735601265]"
2026-07-19T18:35:02.289540,11,Hybrid,3,0.8335411486531914,0.37904507454130343,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4531666666666667, 0.0, 0.05185794076902932, 0.025, 0.03333333333333333, 0.8313291847889804, 0.29318748136752326, 0.09410314452073845]"
2026-07-19T18:35:05.215959,12,Hybrid,3,0.8335411486531914,0.38885428375001363,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3983333333333333, 0.0, 0.0, 0.075, 0.05, 0.8210426179403981, 0.3492434425536421, 0.11551991319974561]"
2026-07-19T18:35:08.197627,13,Hybrid,3,0.8335411486531914,0.4696153489135946,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3443333333333333, 0.0, 0.016052371984575375, 0.05, 0.03333333333333333, 0.8660144678318098, 0.3353153457319518, 0.06761429754317058]"
2026-07-19T18:35:11.212579,14,Hybrid,3,0.8335411486531914,0.5351425601425601,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4168333333333333, 0.0, 0.02442228755985828, 0.025, 0.0, 0.8472340268209925, 0.38212184292543167, 0.0798398816236496]"
2026-07-19T18:35:14.181631,15,Hybrid,3,0.8335411486531914,0.5903560293081681,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4651666666666666, 0.0, 0.020404356942361052, 0.075, 0.03333333333333333, 0.8566818514177135, 0.27245617068549877, 0.03966942431891767]"
2026-07-19T18:35:17.178661,16,Hybrid,3,0.8335411486531914,0.5924867099122492,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.33766666666666667, 0.0, 0.024401310897225435, 0.025, 0.016666666666666666, 0.8758717330252109, 0.3497208400190729, 0.052251575625681945]"
2026-07-19T18:35:20.203019,17,Hybrid,3,0.8335411486531914,0.6250681388969781,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4688333333333333, 0.0, 0.0193903960810372, 0.0, 0.06666666666666667, 0.8520717455451416, 0.3502570000857288, 0.04137304174630819]"
2026-07-19T18:35:23.265143,18,Hybrid,3,0.8335411486531914,0.6471423330148247,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.24983333333333335, 0.0, 0.006866738048949242, 0.025, 0.016666666666666666, 0.9048102066490952, 0.37531597324611676, 0.02736737687563202]"
2026-07-19T18:35:26.348821,19,Hybrid,3,0.8335411486531914,0.6864629077437426,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.48650000000000004, 0.0, 0.012028805217156593, 0.025, 0.06666666666666667, 0.8173048267433882, 0.3489945422047986, 0.098604332757747]"
2026-07-19T18:35:29.423836,20,Hybrid,3,0.8335411486531914,0.6371286418496136,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4966666666666667, 0.0, 0.013683242613664635, 0.1, 0.03333333333333333, 0.8378884280016742, 0.3339215868980863, 0.09158074062183855]"
2026-07-19T18:35:32.471511,21,Hybrid,3,0.8335411486531914,0.63327680794628,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.351, 0.0, 0.002777777777777778, 0.0, 0.016666666666666666, 0.8863897211706115, 0.2522581170075205, 0.04134308318223658]"
2026-07-19T18:35:35.574103,22,Hybrid,3,0.8335411486531914,0.6720701339269499,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4873333333333333, 0.0, 0.05071455956186701, 0.1, 0.03333333333333333, 0.8041277954869062, 0.27309347522133454, 0.11249122236156017]"
2026-07-19T18:35:38.566835,23,Hybrid,3,0.8335411486531914,0.6779804931910196,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.46333333333333326, 0.0, 0.009159987737047256, 0.05, 0.0, 0.8337446116410065, 0.3305568648472358, 0.08859306534626676]"
2026-07-19T18:35:41.696465,24,Hybrid,3,0.8335411486531914,0.608667447741605,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5373333333333333, 0.0, 0.011248017995651127, 0.075, 0.06666666666666667, 0.8455496408094456, 0.32690799012354754, 0.054527603779327624]"
2026-07-19T18:35:44.815226,25,Hybrid,3,0.8335411486531914,0.6075124298731622,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3395, 0.0, 0.013345824864498645, 0.0, 0.03333333333333333, 0.8321831034980118, 0.2690263403408045, 0.10157769473489484]"
2026-07-19T18:35:47.953056,26,Hybrid,3,0.8335411486531914,0.6610585021743299,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.48183333333333334, 0.0, 0.014387189103661477, 0.0, 0.0, 0.8234587201244224, 0.3107716719632257, 0.07461994687865657]"
2026-07-19T18:35:51.134356,27,Hybrid,3,0.8335411486531914,0.6276558704453441,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3798333333333333, 0.0, 0.01960012978194433, 0.075, 0.016666666666666666, 0.8667387618785986, 0.38356258354745343, 0.06602835635812995]"
2026-07-19T18:35:54.354140,28,Hybrid,3,0.8335411486531914,0.6252182742738904,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5616666666666668, 0.0, 0.02674409572615736, 0.1, 0.016666666666666666, 0.8405250099001007, 0.34464297648596354, 0.05127338937026791]"
2026-07-19T18:35:57.594859,29,Hybrid,3,0.8335411486531914,0.6678848582796244,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.42766666666666664, 0.0, 0.038398214908642064, 0.05, 0.05, 0.8362092498735123, 0.41100689512457034, 0.08819111398187839]"
2026-07-19T18:36:00.820993,30,Hybrid,3,0.8335411486531914,0.6621194703547644,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5829999999999999, 0.0, 0.010729045680313232, 0.05, 0.08333333333333333, 0.8242862552276999, 0.3257711994389828, 0.057827616240920185]"
2026-07-19T18:36:04.020619,31,Hybrid,3,0.8335411486531914,0.6634605522808406,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5454999999999999, 0.0, 0.0008865248226950353, 0.0, 0.08333333333333333, 0.8611920897610791, 0.38045951395416966, 0.03969244410981741]"
2026-07-19T18:36:07.306128,32,Hybrid,3,0.8335411486531914,0.6711315481606656,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4958333333333333, 0.0, 0.026222592967776414, 0.0, 0.016666666666666666, 0.845161011496773, 0.3028283924976522, 0.05261450900537599]"
2026-07-19T18:36:10.874360,33,Hybrid,3,0.8335411486531914,0.6972908977814638,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.43733333333333324, 0.0, 0.011769480519480518, 0.0, 0.03333333333333333, 0.8143741417528305, 0.2824543034813155, 0.11654582290657425]"
2026-07-19T18:36:14.904742,34,Hybrid,3,0.8335411486531914,0.6809942452250872,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4004999999999999, 0.0, 0.027092447781758223, 0.1, 0.016666666666666666, 0.8723247392737402, 0.36835317446187815, 0.04794327246769559]"
2026-07-19T18:36:18.998304,35,Hybrid,3,0.8335411486531914,0.6841073271413828,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4371666666666667, 0.0, 0.039636633598746904, 0.025, 0.05, 0.8606710582182892, 0.3184986097805256, 0.06265744920095749]"
2026-07-19T18:36:23.570114,36,Hybrid,3,0.8335411486531914,0.613987391646966,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3969444444444445, 0.0, 0.007115195723233982, 0.0, 0.027777777777777776, 0.818464673192261, 0.335855442837679, 0.1297527568320123]"
2026-07-19T19:00:27.202019,0,Hybrid,3,0.8322826138723832,0.13635430038510912,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.38150000000000006, 0.0, 0.013096939814819459, 0.025, 0.0, 0.8144138851471965, 0.2856505748953569, 0.12855753405282372]",0.85
2026-07-19T19:00:34.452533,1,Hybrid,3,0.8322826138723832,0.17652987690392036,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4261666666666667, 0.0, 0.013913500500940248, 0.075, 0.016666666666666666, 0.840302859595649, 0.3637638135687823, 0.0865645878646235]",0.85
2026-07-19T19:00:41.228589,2,Hybrid,3,0.8322826138723832,0.1766378684535918,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4411666666666666, 0.0, 0.0008928571428571428, 0.025, 0.06666666666666667, 0.8556394859018905, 0.35750484027870494, 0.06672610159273934]",0.85
2026-07-19T19:00:44.166744,3,Hybrid,3,0.8322826138723832,0.1386351119735237,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4136666666666667, 0.0, 0.0073222395420671285, 0.05, 0.03333333333333333, 0.8833845737500845, 0.4448230673781115, 0.03756524117478593]",0.85
2026-07-19T19:00:52.217234,4,Hybrid,3,0.8322826138723832,0.2616758241758242,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.6188333333333333, 0.0, 0.009304257322912266, 0.05, 0.03333333333333333, 0.7912453215955793, 0.3546227546747641, 0.12034181525902002]",0.9
2026-07-19T19:01:00.742462,5,Hybrid,3,0.8322826138723832,0.3072548771940253,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.42466666666666664, 0.0, 0.028489054000129143, 0.025, 0.016666666666666666, 0.8527760609577892, 0.387347004460332, 0.058029120867404915]",0.85
2026-07-19T19:01:08.187795,6,Hybrid,3,0.8322826138723832,0.3100542775911088,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4535, 0.0, 0.006861985720532407, 0.025, 0.016666666666666666, 0.8010087097275698, 0.2805654557596625, 0.12871421942376024]",0.85
2026-07-19T19:01:15.085501,7,Hybrid,3,0.8322826138723832,0.31777666482453715,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.2985, 0.0, 0.002111810226368699, 0.125, 0.0, 0.8564547358813209, 0.2883417340221183, 0.08280826237064459]",0.85
2026-07-19T19:01:23.526721,8,Hybrid,3,0.8322826138723832,0.3336034099332839,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.5793333333333333, 0.0, 0.008261136032559359, 0.075, 0.03333333333333333, 0.8287276325825805, 0.36872159548449424, 0.05996607012189542]",0.9
2026-07-19T19:01:32.653322,9,Hybrid,3,0.8322826138723832,0.29914598944078014,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.5373333333333333, 0.0, 0.03489139308200696, 0.0, 0.05, 0.8339724437049549, 0.4126758474513571, 0.06564095835144533]",0.9
