chunk,loss,macro_f1,runtime_s,mem_peak_mb
0,0.1,0.24326653738418447,0.3749864101409912,0.9485034942626953
1,0.1,0.26550579332035884,0.37018418312072754,1.0740728378295898
2,0.1,0.29847457627118645,0.37238526344299316,1.1555519104003906
3,0.1,0.43332695374800634,0.3543376922607422,1.1780977249145508
4,0.1,0.3234705546026301,0.34931254386901855,1.2459783554077148
5,0.1,0.3953573470554603,0.3742673397064209,1.333414077758789
6,0.1,0.4646430613411746,0.346724271774292,1.3458614349365234
7,0.1,0.5109739058192667,0.35340380668640137,1.4088249206542969
8,0.1,0.5824037074037074,0.36417245864868164,1.4676799774169922
9,0.1,0.5790323334267825,0.3503429889678955,1.4862756729125977
10,0.1,0.552737683467234,0.3656888008117676,1.568704605102539
11,0.1,0.5409352629940865,0.36713528633117676,1.6070098876953125
12,0.1,0.4669708994708994,0.3761873245239258,1.6823244094848633
13,0.1,0.46277926095431815,0.3920300006866455,1.7600812911987305
14,0.1,0.45150499551184475,0.37666845321655273,1.7600812911987305
15,0.1,0.44890871818738826,0.38014888763427734,1.8252830505371094
16,0.1,0.45644430206100034,0.3701903820037842,1.8252830505371094
17,0.1,0.4764578247114398,0.37711048126220703,1.8845958709716797
18,0.1,0.4525843857885087,0.38896822929382324,1.945551872253418
19,0.1,0.4418050176640592,0.37230968475341797,1.9950428009033203
